xPos,yPos,Distance,Velocity,Tilt Angle,Angular Velocity,Time,time stamp
-14.6,-17,46.41724,0,0,0,0,19-06-2021 16:06:46
-14.6,-17.00022,46.4174,0.100615,-0.07661668,7.686837,0.01,19-06-2021 16:06:46
-14.6,-16.99971,46.41703,0.20263,0.09691329,17.50664,0.02,19-06-2021 16:06:46
-14.6,-16.99902,46.41652,0.3024665,0.3363003,23.81996,0.03,19-06-2021 16:06:47
-14.6,-16.99826,46.41597,0.4000944,0.5967609,26.04245,0.04,19-06-2021 16:06:47
-14.6,-16.99778,46.41561,0.4933749,0.762332,16.56264,0.05,19-06-2021 16:06:47
-14.6,-16.99705,46.41508,0.5941343,1.014907,25.24642,0.06,19-06-2021 16:06:47
-14.6,-16.99658,46.41473,0.6891263,1.175531,16.0634,0.07,19-06-2021 16:06:47
-14.6,-16.9956,46.41401,0.7929692,1.514395,33.87713,0.08,19-06-2021 16:06:47
-14.6,-16.9947,46.41336,0.8897634,1.821019,30.67363,0.09,19-06-2021 16:06:47
-14.60003,-16.99429,46.41307,0.5495134,2.191335,43.34774,0.09999999,19-06-2021 16:06:47
-14.60007,-16.99386,46.41278,0.1412732,3.071413,92.64307,0.11,19-06-2021 16:06:47
-14.60008,-16.99352,46.41255,0.05386138,4.117086,103.7125,0.12,19-06-2021 16:06:47
-14.60002,-16.99341,46.41243,0.0494227,4.886477,77.14867,0.13,19-06-2021 16:06:47
-14.59991,-16.99299,46.41204,0.07012258,5.576962,70.68623,0.14,19-06-2021 16:06:47
-14.59973,-16.99237,46.41147,0.08933318,6.347458,82.33368,0.15,19-06-2021 16:06:47
-14.59945,-16.99172,46.4108,0.1095896,7.153958,87.74301,0.16,19-06-2021 16:06:47
-14.59906,-16.99138,46.41029,0.08386369,7.675293,64.09892,0.17,19-06-2021 16:06:47
-14.59863,-16.99074,46.40952,0.09203028,8.10886,56.50142,0.18,19-06-2021 16:06:47
-14.59809,-16.99027,46.40881,0.0744571,8.261251,42.40787,0.19,19-06-2021 16:06:47
-14.59737,-16.98936,46.40766,0.1162958,8.51749,58.05463,0.2,19-06-2021 16:06:47
-14.59656,-16.98858,46.40653,0.1176129,8.734373,68.47521,0.21,19-06-2021 16:06:47
-14.59549,-16.98775,46.4052,0.1345162,8.790084,67.74747,0.22,19-06-2021 16:06:47
-14.59434,-16.98698,46.40385,0.1382549,8.724518,77.68724,0.23,19-06-2021 16:06:47
-14.59309,-16.9863,46.4025,0.1453711,8.479406,83.35163,0.24,19-06-2021 16:06:47
-14.5918,-16.98529,46.40088,0.168637,8.218719,87.17712,0.25,19-06-2021 16:06:47
-14.59053,-16.98426,46.39926,0.1688046,7.834588,85.02911,0.26,19-06-2021 16:06:47
-14.58931,-16.98315,46.39761,0.1758433,7.31928,92.09477,0.27,19-06-2021 16:06:47
-14.58812,-16.98186,46.39586,0.1839555,6.823978,83.86615,0.28,19-06-2021 16:06:47
-14.58704,-16.98035,46.39402,0.1873412,6.50614,73.80896,0.29,19-06-2021 16:06:47
-14.58611,-16.97913,46.39249,0.1594519,6.091589,72.70441,0.3,19-06-2021 16:06:47
-14.58521,-16.97741,46.39062,0.1969562,5.811936,53.71961,0.31,19-06-2021 16:06:47
-14.5845,-16.97548,46.38873,0.2023291,5.682376,49.29567,0.32,19-06-2021 16:06:47
-14.58393,-16.97385,46.38715,0.1756501,5.570352,46.43286,0.33,19-06-2021 16:06:47
-14.58343,-16.9722,46.38559,0.1748582,5.454167,33.23963,0.34,19-06-2021 16:06:47
-14.58296,-16.9704,46.38396,0.182944,5.333735,43.924,0.35,19-06-2021 16:06:47
-14.58244,-16.96866,46.38233,0.186064,5.24867,40.89854,0.36,19-06-2021 16:06:47
-14.58183,-16.96676,46.38052,0.1981397,5.215151,45.50144,0.37,19-06-2021 16:06:47
-14.58104,-16.96477,46.37852,0.214248,5.381356,47.73748,0.38,19-06-2021 16:06:47
-14.58022,-16.96287,46.37658,0.2097387,5.598602,55.61658,0.39,19-06-2021 16:06:47
-14.5793,-16.96112,46.37467,0.1974484,5.684652,63.83138,0.4,19-06-2021 16:06:47
-14.57827,-16.95952,46.3728,0.1926652,5.592753,67.35415,0.41,19-06-2021 16:06:47
-14.57709,-16.95763,46.37061,0.2231466,5.413524,69.86332,0.42,19-06-2021 16:06:47
-14.57587,-16.95567,46.36834,0.2299853,5.245794,56.05988,0.43,19-06-2021 16:06:47
-14.57461,-16.95358,46.36596,0.243102,5.177027,63.59318,0.44,19-06-2021 16:06:47
-14.57341,-16.95161,46.3637,0.2326913,4.90069,70.46627,0.45,19-06-2021 16:06:47
-14.57219,-16.94946,46.36129,0.2454665,4.630074,56.60254,0.46,19-06-2021 16:06:47
-14.57102,-16.94745,46.35902,0.2324011,4.342756,71.39986,0.47,19-06-2021 16:06:47
-14.56971,-16.94538,46.35661,0.2479683,4.103078,81.61627,0.48,19-06-2021 16:06:47
-14.56843,-16.94346,46.35433,0.2344507,3.639595,91.79552,0.49,19-06-2021 16:06:47
-14.56705,-16.94112,46.35168,0.2700741,3.269442,74.19136,0.5,19-06-2021 16:06:47
-14.56569,-16.93871,46.34899,0.2757797,3.116338,70.16142,0.51,19-06-2021 16:06:47
-14.56448,-16.93634,46.34643,0.268782,2.963524,59.94333,0.52,19-06-2021 16:06:47
-14.56316,-16.93357,46.34351,0.3026637,3.042467,58.14529,0.53,19-06-2021 16:06:47
-14.56206,-16.93124,46.34105,0.2605603,3.033833,46.82952,0.54,19-06-2021 16:06:47
-14.56082,-16.92859,46.33826,0.2894559,3.238215,50.34011,0.55,19-06-2021 16:06:47
-14.55972,-16.92643,46.33593,0.2443944,3.173915,44.88489,0.56,19-06-2021 16:06:47
-14.55837,-16.92391,46.33316,0.2835149,3.319479,49.54609,0.57,19-06-2021 16:06:47
-14.55703,-16.92166,46.33061,0.2627603,3.325195,52.85825,0.58,19-06-2021 16:06:47
-14.55548,-16.91914,46.32771,0.2961321,3.415983,66.09685,0.59,19-06-2021 16:06:47
-14.55401,-16.91702,46.32515,0.2584564,3.357597,79.17442,0.6,19-06-2021 16:06:47
-14.55251,-16.91503,46.32267,0.249968,3.090032,84.25468,0.61,19-06-2021 16:06:47
-14.55091,-16.9129,46.32002,0.2666123,2.767111,81.85373,0.62,19-06-2021 16:06:47
-14.54928,-16.91072,46.31732,0.2735604,2.356009,84.64254,0.63,19-06-2021 16:06:47
-14.5476,-16.90842,46.31449,0.2818825,1.941687,94.6498,0.64,19-06-2021 16:06:47
-14.54582,-16.90598,46.31149,0.30298,1.705365,84.31902,0.65,19-06-2021 16:06:47
